
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
083AXDrb.jpg,true,895,NaN,null,0.29236064984752425,0.3568943486374434,0.3246274992424838
0Dp7h0y.jpg,false,663,0.028144959154213063,0.05003582504386404,0.027358190876455968,0.01694849942271983,0.03062186862431323
1bxdFkCb.jpg,true,625,NaN,null,0.190226549692918,0.2707598848024808,0.2304932172476994
1dyOWLnb.jpg,false,16,0.03209263832879769,null,0.004349266850890148,0.013656424978409448,0.016699443386032426
1gm2agmb.jpg,false,86,0.0064916691049452056,null,0.05168155415118514,0.057411248900212715,0.03852815738544769
1jakNgC.png,false,905,0.004691619520774471,0.0035707689011412747,null,0.026902500465166727,0.011721629629027489
1pulI6u.jpg,false,1738,0.1426892744179401,0.007908063432575864,0.13953510265739405,0.14255400848074168,0.10817161224716293
2bHRwsC.jpg,false,343,0.04445625835646359,0.009053112017684994,null,0.014510454174868926,0.022673274849672506
2IBQGa2.jpg,false,74,0.021230509144992284,0.0,0.018483499534418472,0.024489277554987518,0.01605082155859957
2l8ZlQyb.jpg,false,10,0.010525442483628352,null,0.004487414597694256,0.009024288595807228,0.008012381892376613
2mHkS5N.jpg,false,70,0.032935923967577774,null,null,0.055560393296316804,0.04424815863194729
2mHkS5Nb.jpg,false,99,0.10347057565944462,null,0.0905354642527388,0.09730814297046442,0.09710472762754928
2voutJO.jpg,false,815,0.0044040981703968975,0.01562500082514857,0.056855115392960565,0.05321371686213041,0.032524482812659114
3X7qkelb.jpg,false,177,0.16963447527534847,null,0.07877120826222216,0.06326190588342925,0.10388919647366664
3zKOm5Vb.jpg,false,13,0.012342496386701788,null,0.015380390348637906,0.017778372989024273,0.01516708657478799
4a4vaqNb.jpg,true,2979,NaN,null,0.6978863400944021,1.0,0.848943170047201
4ODQAoDb.jpg,false,69,0.04774637306439924,null,0.036284996768561166,0.03380751598816194,0.03927962860704078
4rovfhh.jpg,false,2834,0.18887196668075507,0.01722399327701661,0.17880354206034854,0.1909612885030285,0.14396519763028717
4ZD5xNkb.jpg,false,130,0.08291801685837745,null,0.08895196732546201,0.10534058169573404,0.09240352195985783
4ZhoQvW.jpg,true,5586,0.34467970387772995,0.0101105934903746,0.3125037528090346,0.35558987494111105,0.25572098127956255
575xtKcb.jpg,false,110,0.11433781047646956,null,0.055359152476708785,0.06527025627776974,0.07832240641031603
57CLFQT.jpg,false,238,0.004515880361774111,0.009293175972281579,null,0.019518763187169427,0.011109273173741704
5p3HnkK.jpg,false,880,0.041185180454971604,0.04728488144186628,null,0.05689227888548805,0.048454113594108644
